n,signal,col2,sel_peak
18,153342,4.615,p
19,153343,4.605,p
20,153344,4.665,p
21,153345,4.7,p
22,153346,4.71,p
23,153347,4.7,p
24,153348,4.7,p
25,153349,4.7,p
26,153350,4.695,p
27,153351,4.675,p
28,153352,4.675,p
29,153353,4.675,p
0,153527,4.785,p
1,153528,4.8,p
2,153529,4.78,p
3,153530,4.72,p
4,153531,4.66,p
5,153532,4.635,p
6,153533,4.62,p
7,153534,4.675,p
8,153535,4.865,p
9,153536,5.09,p
10,153537,5.35,p
11,153538,5.665,p
12,153539,5.97,p
13,153540,6.18,p
14,153541,6.29,p
15,153542,6.16,p
16,153543,5.65,p
17,153544,4.98,p
18,153545,4.69,p
19,153546,4.705,p
20,153547,4.755,p
21,153548,4.78,p
22,153549,4.77,p
23,153550,4.775,p
24,153551,4.765,p
25,153552,4.75,p
26,153553,4.76,p
27,153554,4.775,p
28,153555,4.76,p
29,153556,4.75,p
0,153706,4.85,p
1,153707,4.86,p
2,153708,4.87,p
3,153709,4.855,p
4,153710,4.825,p
5,153711,4.77,p
6,153712,4.735,p
7,153713,4.69,p
8,153714,4.66,p
9,153715,4.8,p
10,153716,5.075,p
11,153717,5.375,p
12,153718,5.765,p
13,153719,6.155,p
14,153720,6.345,p
15,153721,6.145,p
16,153722,5.51,p
17,153723,4.875,p
18,153724,4.74,p
19,153725,4.745,p
20,153726,4.845,p
21,153727,4.845,p
22,153728,4.845,p
23,153729,4.845,p
24,153730,4.835,p
25,153731,4.82,p
26,153732,4.83,p
27,153733,4.84,p
28,153734,4.82,p
29,153735,4.81,p
0,153898,4.865,p
1,153899,4.875,p
2,153900,4.885,p
3,153901,4.86,p
4,153902,4.815,p
5,153903,4.775,p
6,153904,4.735,p
7,153905,4.685,p
8,153906,4.71,p
9,153907,4.915,p
10,153908,5.19,p
11,153909,5.53,p
12,153910,5.95,p
13,153911,6.29,p
14,153912,6.43,p
15,153913,6.34,p
16,153914,5.93,p
17,153915,5.325,p
18,153916,4.88,p
19,153917,4.76,p
20,153918,4.765,p
21,153919,4.83,p
22,153920,4.865,p
23,153921,4.86,p
24,153922,4.845,p
25,153923,4.835,p
26,153924,4.83,p
27,153925,4.83,p
28,153926,4.825,p
29,153927,4.825,p
0,154099,4.825,p
1,154100,4.835,p
2,154101,4.825,p
3,154102,4.795,p
4,154103,4.77,p
5,154104,4.725,p
6,154105,4.68,p
7,154106,4.63,p
8,154107,4.62,p
9,154108,4.755,p
10,154109,4.94,p
11,154110,5.215,p
12,154111,5.585,p
13,154112,5.95,p
14,154113,6.135,p
15,154114,5.975,p
16,154115,5.43,p
17,154116,4.91,p
18,154117,4.705,p
19,154118,4.685,p
20,154119,4.725,p
21,154120,4.79,p
22,154121,4.785,p
23,154122,4.775,p
24,154123,4.76,p
25,154124,4.785,p
26,154125,4.79,p
27,154126,4.765,p
28,154127,4.75,p
29,154128,4.75,p
0,154311,4.82,p
1,154312,4.825,p
2,154313,4.81,p
3,154314,4.77,p
4,154315,4.71,p
5,154316,4.69,p
6,154317,4.65,p
7,154318,4.615,p
8,154319,4.73,p
9,154320,4.97,p
10,154321,5.23,p
11,154322,5.575,p
12,154323,5.955,p
13,154324,6.2,p
14,154325,6.245,p
15,154326,5.71,p
16,154327,5.075,p
17,154328,4.74,p
18,154329,4.695,p
19,154330,4.745,p
20,154331,4.765,p
21,154332,4.78,p
22,154333,4.79,p
23,154334,4.785,p
24,154335,4.77,p
25,154336,4.77,p
26,154337,4.78,p
27,154338,4.785,p
28,154339,4.77,p
29,154340,4.775,p
0,154508,4.74,p
1,154509,4.69,p
2,154510,4.66,p
3,154511,4.63,p
4,154512,4.58,p
5,154513,4.54,p
6,154514,4.54,p
7,154515,4.62,p
8,154516,4.75,p
9,154517,4.955,p
10,154518,5.17,p
11,154519,5.46,p
12,154520,5.86,p
13,154521,6.175,p
14,154522,6.305,p
15,154523,6.155,p
16,154524,5.625,p
17,154525,5.43,p
18,154526,4.71,p
19,154527,4.7,p
20,154528,4.78,p
21,154529,4.8,p
22,154530,4.785,p
23,154531,4.77,p
24,154532,4.765,p
25,154533,4.775,p
26,154534,4.76,p
27,154535,4.755,p
28,154536,4.745,p
29,154537,4.755,p
0,154708,4.81,p
1,154709,4.81,p
2,154710,4.775,p
3,154711,4.745,p
4,154712,4.7,p
5,154713,4.67,p
6,154714,4.62,p
7,154715,4.59,p
8,154716,4.66,p
9,154717,4.865,p
10,154718,5.095,p
11,154719,5.415,p
12,154720,5.81,p
13,154721,6.125,p
14,154722,6.195,p
15,154723,5.915,p
16,154724,5.305,p
17,154725,5.105,p
18,154726,4.665,p
19,154727,4.71,p
20,154728,4.755,p
21,154729,4.765,p
22,154730,4.75,p
23,154731,4.75,p
24,154732,4.75,p
25,154733,4.76,p
26,154734,4.75,p
27,154735,4.735,p
28,154736,4.74,p
29,154737,4.745,p
0,154919,4.735,p
1,154920,4.72,p
2,154921,4.69,p
3,154922,4.645,p
4,154923,4.59,p
5,154924,4.545,p
6,154925,4.535,p
7,154926,4.72,p
8,154927,4.86,p
9,154928,5.01,p
10,154929,5.215,p
11,154930,5.52,p
12,154931,5.835,p
13,154932,6.09,p
14,154933,6.13,p
15,154934,5.855,p
16,154935,5.295,p
17,154936,4.84,p
18,154937,4.67,p
19,154938,4.645,p
20,154939,4.685,p
21,154940,4.72,p
22,154941,4.73,p
23,154942,4.73,p
24,154943,4.72,p
25,154944,4.72,p
26,154945,4.705,p
27,154946,4.71,p
28,154947,4.705,p
29,154948,4.685,p
0,155121,4.825,p
1,155122,4.815,p
2,155123,4.795,p
3,155124,4.795,p
4,155125,4.785,p
5,155126,4.695,p
6,155127,4.655,p
7,155128,4.63,p
8,155129,4.67,p
9,155130,4.865,p
10,155131,5.115,p
11,155132,5.45,p
12,155133,5.88,p
13,155134,6.225,p
14,155135,6.265,p
15,155136,5.91,p
16,155137,5.24,p
17,155138,4.765,p
18,155139,4.66,p
19,155140,4.735,p
20,155141,4.795,p
21,155142,4.8,p
22,155143,4.775,p
23,155144,4.76,p
24,155145,4.775,p
25,155146,4.785,p
26,155147,4.77,p
27,155148,4.76,p
28,155149,4.765,p
29,155150,4.77,p
0,155301,4.855,p
1,155302,4.845,p
2,155303,4.835,p
3,155304,4.815,p
4,155305,4.77,p
5,155306,4.705,p
6,155307,4.66,p
7,155308,4.635,p
8,155309,4.745,p
9,155310,4.95,p
10,155311,5.12,p
11,155312,5.315,p
12,155313,5.645,p
13,155314,6.06,p
14,155315,6.325,p
15,155316,6.34,p
16,155317,5.865,p
17,155318,5.155,p
18,155319,4.765,p
19,155320,4.725,p
20,155321,4.805,p
21,155322,4.83,p
22,155323,4.805,p
23,155324,4.815,p
24,155325,4.82,p
25,155326,4.81,p
26,155327,4.785,p
27,155328,4.79,p
28,155329,4.805,p
29,155330,4.805,p
0,155489,4.835,p
1,155490,4.825,p
2,155491,4.835,p
3,155492,4.83,p
4,155493,4.78,p
5,155494,4.72,p
6,155495,4.685,p
7,155496,4.655,p
8,155497,4.675,p
9,155498,4.85,p
10,155499,5.115,p
11,155500,5.205,p
12,155501,5.85,p
13,155502,6.18,p
14,155503,6.225,p
15,155504,5.88,p
16,155505,5.215,p
17,155506,4.77,p
18,155507,4.705,p
19,155508,4.79,p
20,155509,4.82,p
21,155510,4.815,p
22,155511,4.805,p
23,155512,4.81,p
24,155513,4.82,p
25,155514,4.805,p
26,155515,4.795,p
27,155516,4.805,p
28,155517,4.81,p
29,155518,4.8,p
0,155689,4.77,p
1,155690,4.76,p
2,155691,4.78,p
3,155692,4.77,p
4,155693,4.71,p
5,155694,4.64,p
6,155695,4.6,p
7,155696,4.58,p
8,155697,4.675,p
9,155698,4.86,p
10,155699,5.11,p
11,155700,5.205,p
12,155701,5.845,p
13,155702,6.09,p
14,155703,6.045,p
15,155704,5.605,p
16,155705,5.005,p
17,155706,4.685,p
18,155707,4.64,p
19,155708,4.695,p
20,155709,4.735,p
21,155710,4.74,p
22,155711,4.74,p
23,155712,4.76,p
24,155713,4.75,p
25,155714,4.73,p
26,155715,4.71,p
27,155716,4.73,p
28,155717,4.745,p
29,155718,4.75,p
0,155899,4.83,p
1,155900,4.83,p
2,155901,4.825,p
3,155902,4.785,p
4,155903,4.745,p
5,155904,4.71,p
6,155905,4.67,p
7,155906,4.63,p
8,155907,4.67,p
9,155908,4.885,p
10,155909,5.14,p
11,155910,5.44,p
12,155911,5.82,p
13,155912,6.15,p
14,155913,6.27,p
15,155914,6.09,p
16,155915,5.53,p
17,155916,4.935,p
18,155917,4.695,p
19,155918,4.695,p
20,155919,4.755,p
21,155920,4.78,p
22,155921,4.79,p
23,155922,4.785,p
24,155923,4.775,p
25,155924,4.775,p
26,155925,4.78,p
27,155926,4.77,p
28,155927,4.765,p
29,155928,4.755,p
0,156095,4.8,p
1,156096,4.805,p
2,156097,4.785,p
3,156098,4.74,p
4,156099,4.695,p
5,156100,4.69,p
6,156101,4.655,p
7,156102,4.59,p
8,156103,4.62,p
9,156104,4.805,p
10,156105,5.05,p
11,156106,5.31,p
12,156107,5.67,p
13,156108,6.055,p
14,156109,6.275,p
15,156110,6.21,p
16,156111,5.74,p
17,156112,5.105,p
18,156113,4.75,p
19,156114,4.685,p
20,156115,4.74,p
21,156116,4.79,p
22,156117,4.79,p
23,156118,4.78,p
24,156119,4.765,p
25,156120,4.765,p
26,156121,4.775,p
27,156122,4.77,p
28,156123,4.75,p
29,156124,4.75,p
0,7422,4.835,np
1,7423,4.84,np
2,7424,4.825,np
3,7425,4.82,np
4,7426,4.825,np
5,7427,4.835,np
6,7428,4.83,np
7,7429,4.82,np
8,7430,4.825,np
9,7431,4.825,np
10,7432,4.815,np
11,7433,4.815,np
12,7434,4.82,np
13,7435,4.82,np
14,7436,4.805,np
15,7437,4.785,np
16,7438,4.795,np
17,7439,4.8,np
18,7440,4.795,np
19,7441,4.79,np
20,7442,4.795,np
21,7443,4.805,np
22,7444,4.805,np
23,7445,4.79,np
24,7446,4.79,np
25,7447,4.79,np
26,7448,4.795,np
27,7449,4.78,np
28,7450,4.765,np
29,7451,4.77,np
0,7730,4.69,np
1,7731,4.685,np
2,7732,4.69,np
3,7733,4.68,np
4,7734,4.685,np
5,7735,4.7,np
6,7736,4.695,np
7,7737,4.68,np
8,7738,4.68,np
9,7739,4.69,np
10,7740,4.69,np
11,7741,4.68,np
12,7742,4.67,np
13,7743,4.675,np
14,7744,4.68,np
15,7745,4.685,np
16,7746,4.675,np
17,7747,4.685,np
18,7748,4.695,np
19,7749,4.685,np
20,7750,4.68,np
21,7751,4.68,np
22,7752,4.69,np
23,7753,4.695,np
24,7754,4.68,np
25,7755,4.69,np
26,7756,4.7,np
27,7757,4.685,np
28,7758,4.68,np
29,7759,4.675,np
0,8018,4.8,np
1,8019,4.8,np
2,8020,4.795,np
3,8021,4.78,np
4,8022,4.8,np
5,8023,4.805,np
6,8024,4.8,np
7,8025,4.805,np
8,8026,4.81,np
9,8027,4.825,np
10,8028,4.84,np
11,8029,4.835,np
12,8030,4.845,np
13,8031,4.865,np
14,8032,4.875,np
15,8033,4.865,np
16,8034,4.87,np
17,8035,4.905,np
18,8036,4.92,np
19,8037,4.92,np
20,8038,4.92,np
21,8039,4.925,np
22,8040,4.915,np
23,8041,4.89,np
24,8042,4.9,np
25,8043,4.91,np
26,8044,4.93,np
27,8045,4.94,np
28,8046,4.94,np
29,8047,4.925,np
